seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
8,25,0.25,1,6,1089.581087,FALSE,TRUE,4.3
9,25,0.25,1,4,772.5126059,FALSE,TRUE,4.3
10,25,0.25,1,8,1426.471876,FALSE,TRUE,4.3
11,25,0.25,1,4,760.5180911,FALSE,TRUE,4.3
12,25,0.25,1,4,751.0515415,FALSE,TRUE,4.3
13,25,0.25,1,7,1317.493043,FALSE,TRUE,4.3
14,25,0.25,1,7,1258.470098,FALSE,TRUE,4.3
15,25,0.25,1,6,1106.128345,FALSE,TRUE,4.3
16,25,0.25,1,4,752.0915404,FALSE,TRUE,4.3
17,25,0.25,1,5,922.8827116,FALSE,TRUE,4.3
18,25,0.25,1,4,741.4980084,FALSE,TRUE,4.3
19,25,0.25,1,4,745.088079,FALSE,TRUE,4.3
0,25,0.25,1,4,844.5206241,FALSE,TRUE,4.5
1,25,0.25,1,5,1039.223956,FALSE,TRUE,4.5
2,25,0.25,1,4,812.4200362,FALSE,TRUE,4.5
3,25,0.25,1,5,1031.69766,FALSE,TRUE,4.5
4,25,0.25,1,6,1196.482516,FALSE,TRUE,4.5
5,25,0.25,1,4,820.1050665,FALSE,TRUE,4.5
6,25,0.25,1,6,1185.487225,FALSE,TRUE,4.5
7,25,0.25,1,5,1011.878062,FALSE,TRUE,4.5
8,25,0.25,1,4,824.5972256,FALSE,TRUE,4.5
9,25,0.25,1,7,1416.204189,FALSE,TRUE,4.5
10,25,0.25,1,7,1345.9337,FALSE,TRUE,4.5
11,25,0.25,1,6,1206.253466,FALSE,TRUE,4.5
12,25,0.25,1,4,828.4825508,FALSE,TRUE,4.5
13,25,0.25,1,6,1173.382875,FALSE,TRUE,4.5
14,25,0.25,1,4,827.7750294,FALSE,TRUE,4.5
15,25,0.25,1,6,1198.001594,FALSE,TRUE,4.5
16,25,0.25,1,4,838.7340403,FALSE,TRUE,4.5
17,25,0.25,1,6,1216.283429,FALSE,TRUE,4.5
18,25,0.25,1,4,852.1750341,FALSE,TRUE,4.5
19,25,0.25,1,5,1019.09334,FALSE,TRUE,4.5
0,25,0.25,1,4,893.9413655,FALSE,TRUE,4.7
1,25,0.25,1,4,868.5318714,FALSE,TRUE,4.7
2,25,0.25,1,4,930.1495896,FALSE,TRUE,4.7
3,25,0.25,1,3,682.640436,FALSE,TRUE,4.7
4,25,0.25,1,3,662.2960316,FALSE,TRUE,4.7
5,25,0.25,1,4,859.6496337,FALSE,TRUE,4.7
