seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
2,25,0.25,1,130,499.0554157,TRUE,TRUE,3.3
3,25,0.25,1,160,523.9254708,TRUE,TRUE,3.3
4,25,0.25,1,170,535.8475155,TRUE,TRUE,3.3
5,25,0.25,1,134,469.9200922,TRUE,TRUE,3.3
6,25,0.25,1,140,498.831148,TRUE,TRUE,3.3
7,25,0.25,1,155,496.2093041,TRUE,TRUE,3.3
8,25,0.25,1,160,495.7586218,TRUE,TRUE,3.3
9,25,0.25,1,170,540.0131428,TRUE,TRUE,3.3
10,25,0.25,1,125,487.9225207,TRUE,TRUE,3.3
11,25,0.25,1,180,527.108279,TRUE,TRUE,3.3
12,25,0.25,1,170,547.4967081,TRUE,TRUE,3.3
13,25,0.25,1,160,522.3969134,TRUE,TRUE,3.3
14,25,0.25,1,235,554.618513,TRUE,TRUE,3.3
15,25,0.25,1,170,506.2772286,TRUE,TRUE,3.3
16,25,0.25,1,200,569.9880111,TRUE,TRUE,3.3
17,25,0.25,1,180,559.7961075,TRUE,TRUE,3.3
18,25,0.25,1,140,520.8068874,TRUE,TRUE,3.3
19,25,0.25,1,175,484.6866331,TRUE,TRUE,3.3
0,25,0.25,1,199,532.7956059,TRUE,TRUE,3.5
1,25,0.25,1,175,529.9504461,TRUE,TRUE,3.5
2,25,0.25,1,115,494.6763293,TRUE,TRUE,3.5
3,25,0.25,1,145,518.6250152,TRUE,TRUE,3.5
4,25,0.25,1,150,530.7796708,TRUE,TRUE,3.5
5,25,0.25,1,135,494.7533649,TRUE,TRUE,3.5
6,25,0.25,1,150,504.9789219,TRUE,TRUE,3.5
7,25,0.25,1,139,495.0238576,TRUE,TRUE,3.5
8,25,0.25,1,230,529.7352424,TRUE,TRUE,3.5
9,25,0.25,1,189,540.1482669,TRUE,TRUE,3.5
10,25,0.25,1,140,497.3463735,TRUE,TRUE,3.5
11,25,0.25,1,180,529.6663359,TRUE,TRUE,3.5
12,25,0.25,1,150,524.4513166,TRUE,TRUE,3.5
13,25,0.25,1,175,539.5364693,TRUE,TRUE,3.5
14,25,0.25,1,170,536.5340843,TRUE,TRUE,3.5
15,25,0.25,1,215,535.4494287,TRUE,TRUE,3.5
16,25,0.25,1,174,566.0846352,TRUE,TRUE,3.5
17,25,0.25,1,170,568.3589146,TRUE,TRUE,3.5
18,25,0.25,1,130,515.7065011,TRUE,TRUE,3.5
19,25,0.25,1,134,491.2350597,TRUE,TRUE,3.5
0,25,0.25,1,170,536.7606925,TRUE,TRUE,3.7
1,25,0.25,1,145,532.7650389,TRUE,TRUE,3.7
2,25,0.25,1,130,521.3351941,TRUE,TRUE,3.7
3,25,0.25,1,190,524.400832,TRUE,TRUE,3.7
4,25,0.25,1,159,535.6622431,TRUE,TRUE,3.7
5,25,0.25,1,120,483.4953601,TRUE,TRUE,3.7
6,25,0.25,1,145,525.4816858,TRUE,TRUE,3.7
7,25,0.25,1,160,529.0825598,TRUE,TRUE,3.7
8,25,0.25,1,189,512.5642353,TRUE,TRUE,3.7
9,25,0.25,1,135,538.4593309,TRUE,TRUE,3.7
10,25,0.25,1,120,486.1381239,TRUE,TRUE,3.7
11,25,0.25,1,149,522.4229598,TRUE,TRUE,3.7
12,25,0.25,1,125,529.7354838,TRUE,TRUE,3.7
13,25,0.25,1,155,533.6495929,TRUE,TRUE,3.7
14,25,0.25,1,125,513.9241371,TRUE,TRUE,3.7
15,25,0.25,1,124,486.0100666,TRUE,TRUE,3.7
16,25,0.25,1,225,595.9458212,TRUE,TRUE,3.7
17,25,0.25,1,159,540.1263481,TRUE,TRUE,3.7
18,25,0.25,1,130,517.6646036,TRUE,TRUE,3.7
19,25,0.25,1,135,482.5183701,TRUE,TRUE,3.7
0,25,0.25,1,129,500.0518704,TRUE,TRUE,3.9
1,25,0.25,1,140,532.2670947,TRUE,TRUE,3.9
2,25,0.25,1,115,490.9064379,TRUE,TRUE,3.9
3,25,0.25,1,139,503.5739031,TRUE,TRUE,3.9
4,25,0.25,1,129,531.8145281,TRUE,TRUE,3.9
5,25,0.25,1,130,497.6918725,TRUE,TRUE,3.9
6,25,0.25,1,120,506.5523136,TRUE,TRUE,3.9
7,25,0.25,1,125,516.0566453,TRUE,TRUE,3.9
8,25,0.25,1,125,491.1073769,TRUE,TRUE,3.9
9,25,0.25,1,135,523.3588878,TRUE,TRUE,3.9
10,25,0.25,1,170,534.1936142,TRUE,TRUE,3.9
11,25,0.25,1,135,496.752944,TRUE,TRUE,3.9
12,25,0.25,1,150,534.394105,TRUE,TRUE,3.9
13,25,0.25,1,140,535.2829612,TRUE,TRUE,3.9
14,25,0.25,1,120,550.6815965,TRUE,TRUE,3.9
15,25,0.25,1,150,514.8979261,TRUE,TRUE,3.9
16,25,0.25,1,160,552.1158261,TRUE,TRUE,3.9
17,25,0.25,1,145,533.7365851,TRUE,TRUE,3.9
18,25,0.25,1,134,527.7428346,TRUE,TRUE,3.9
19,25,0.25,1,120,486.2010941,TRUE,TRUE,3.9
0,25,0.25,1,104,497.0356163,TRUE,TRUE,4.1
